1;1;Decebal are primele confruntari militare cu imparatul:;a) Diocletian;b) Constantin cel Mare;c) Domitian;d) Justinian;c) Domitian
1;1;Primele campanii militare ale statului roman la Dunarea de Jos au fost initiate in secolul:;a) II i.Hr.;b) I i.Hr.;c) I d.Hr.;d) II d.Hr.;b) I i.Hr.
1;1;Spatiul din dreapta Dunarii Inferioare este integrat in Imperiul Roman in secolul:;a) II i.Hr.;b) I i.Hr.;c) I d.Hr.;d) II d.Hr;c) I d.Hr.
1;1;Spatiul daco-moesian a intrat in orbita civilizatiei romane in secolul:;a) II i.Hr.;b) III i.Hr.;c) I i.Hr.;d) I d.Hr;a) II i.Hr.
1;1;Hidronim transilvan, care atesta continuitatea geto-daca in epoca romana:;a) Siret;b) Bistrita;c) Mures;d) Ialomita;c) Mures
1;1;Factor al romanizarii cu actiune decisiva in etapa desavarsirii acestui proces in stanga Dunarii de Jos:;a) colonizarea;b) marile migratii;c) crestinismul;d) normele juridice;c) crestinismul
1;1;An decisiv pentru destinul romanitatii orientale din dreapta Dunarii:;a) 106;b) 275;c) 313;	d) 602;d) 602
1;1;Fenomen demografic declansat, in zonele din stanga Dunarii de Jos, de retragerea aureliana si accentuat de marile migratii:;a) reconversia rurala;b) etnogeneza;c) formarea limbii romane;d) desavarsirea romanizarii;a) reconversia rurala
1;1;Elementul comun pentru colonistii din Dacia Traiana:;a) nu vorbesc latina populara;b) sunt latinofoni;c) sunt elinofoni;d) provin doar din provinciile vecine;b) sunt latinofoni
1;1;Centrul puterii geto-dace, incepand cu secolul I i.Hr.:;a) Campia Munteniei;b) spatiul istro-pontic;c) sudul Moldovei;d) sud-vestul Transilvaniei;d) sud-vestul Transilvaniei.
1;2;Progresele economico-sociale inregistrate de societatea geto-daca, dar si amenintarile externe, explica aparitia, in secolul I i.Hr., a edificiului politic condus de Burebista. construit prin forta armelor, acesta se va prabusi imediat dupa moartea marelui rege geto-dac, divizandu-se in patru, apoi in cinci formatiuni.;NULL;NULL;NULL;NULL;B 
1;2;Burebista realizeaza cea dintai unificare politica a geto-dacilor in primul secol al erei precrestine. el reuneste sub autoritatea sa teritoriile dintre Muntii Haemus, Carpatii Padurosi, Dunarea Mijlocie, gurile Bugului si litoralul vestic al Pontului Euxin.;NULL;NULL;NULL;NULL;D
1;2;In privinta stadiului de dezvoltare, statul lui Decebal este superior celui condus de Burebista. domnia lui Decebal reprezinta perioada de apogeu a procesului istoric pe care N. Iorga il considera „prima sinteza” autohtona - „Regatul dacilor”.;NULL;NULL;NULL;NULL;A
1;2;Instalat pe tronul Imperiului Roman in anul 98, Marcus Ulpius Traianus isi manifesta ostilitatea fata de statul lui Burebista. el va declansa un nou razboi impotriva dacilor in anul 101.;NULL;NULL;NULL;NULL;D
